0,ID,Season,Home,Away,TossWin,TossDec,Venue,Winner
172,2010_54,2010,KXIP,CSK,Away,field,Himachal Pradesh Cricket Association Stadium,Away
173,2010_55,2010,DD,DC,Away,bat,Arun Jaitley Stadium,Away
174,2010_56,2010,KKR,MI,Away,bat,Eden Gardens,Home
175,2010_57,2010,MI,RCB,Home,bat,Dr DY Patil Sports Academy,Home
176,2010_58,2010,DC,CSK,Away,bat,Dr DY Patil Sports Academy,Away
177,2010_59,2010,DC,RCB,Home,bat,Dr DY Patil Sports Academy,Away
178,2010_60,2010,MI,CSK,Away,bat,Dr DY Patil Sports Academy,Away
179,2011_1,2011,CSK,KKR,Home,bat,MA Chidambaram Stadium,Home
180,2011_2,2011,DC,RR,Away,field,Rajiv Gandhi International Stadium,Away
181,2011_3,2011,Kochi,RCB,Home,bat,Nehru Stadium,Away
182,2011_4,2011,DD,MI,Home,bat,Arun Jaitley Stadium,Away
183,2011_5,2011,KXIP,PWI,Home,bat,Dr DY Patil Sports Academy,Away
184,2011_6,2011,KKR,DC,Home,bat,Eden Gardens,Home
185,2011_7,2011,RR,DD,Away,bat,Sawai Mansingh Stadium,Home
186,2011_8,2011,RCB,MI,Away,field,M.Chinnaswamy Stadium,Away
187,2011_9,2011,KXIP,CSK,Home,field,Punjab Cricket Association IS Bindra Stadium,Home
188,2011_10,2011,Kochi,PWI,Home,bat,Dr DY Patil Sports Academy,Away
189,2011_11,2011,DC,RCB,Away,field,Rajiv Gandhi International Stadium,Home
190,2011_12,2011,RR,KKR,Away,field,Sawai Mansingh Stadium,Away
191,2011_13,2011,MI,Kochi,Away,field,Wankhede Stadium,Away
192,2011_14,2011,CSK,RCB,Home,bat,MA Chidambaram Stadium,Home
193,2011_15,2011,DC,KXIP,Away,field,Rajiv Gandhi International Stadium,Away
194,2011_16,2011,PWI,DD,Away,field,Dr DY Patil Sports Academy,Away
195,2011_17,2011,KKR,RR,Home,field,Eden Gardens,Home
196,2011_18,2011,CSK,Kochi,Away,field,Nehru Stadium,Away
197,2011_19,2011,DD,DC,Away,bat,Arun Jaitley Stadium,Away
198,2011_20,2011,RCB,RR,none,none,M.Chinnaswamy Stadium,Tie
199,2011_21,2011,MI,PWI,Away,bat,Wankhede Stadium,Home
200,2011_22,2011,KKR,Kochi,Home,field,Eden Gardens,Away
201,2011_23,2011,KXIP,RR,Away,field,Punjab Cricket Association IS Bindra Stadium,Home
202,2011_24,2011,KKR,RCB,Away,field,Eden Gardens,Away
203,2011_25,2011,MI,CSK,Away,field,Wankhede Stadium,Home
204,2011_26,2011,DD,KXIP,Away,field,Arun Jaitley Stadium,Home
205,2011_27,2011,DC,MI,Home,field,Rajiv Gandhi International Stadium,Away
206,2011_28,2011,RR,Kochi,Home,field,Sawai Mansingh Stadium,Home
207,2011_29,2011,CSK,PWI,Away,field,MA Chidambaram Stadium,Home
208,2011_30,2011,DD,RCB,Away,field,Arun Jaitley Stadium,Away
209,2011_31,2011,PWI,CSK,Home,bat,Dr DY Patil Sports Academy,Away
210,2011_32,2011,DC,Kochi,Away,field,Nehru Stadium,Home
211,2011_33,2011,DD,KKR,Home,field,Arun Jaitley Stadium,Away
212,2011_34,2011,RR,MI,Home,field,Sawai Mansingh Stadium,Home
213,2011_35,2011,RCB,PWI,Away,field,M.Chinnaswamy Stadium,Home
214,2011_36,2011,DD,Kochi,Home,bat,Nehru Stadium,Home
215,2011_37,2011,KKR,KXIP,Home,field,Eden Gardens,Home
216,2011_38,2011,RR,PWI,Home,field,Sawai Mansingh Stadium,Home
217,2011_39,2011,CSK,DC,Home,bat,MA Chidambaram Stadium,Home
218,2011_40,2011,MI,KXIP,Away,field,Wankhede Stadium,Home
219,2011_41,2011,DD,Kochi,Away,field,Arun Jaitley Stadium,Away
220,2011_42,2011,DC,KKR,Home,field,Rajiv Gandhi International Stadium,Away
221,2011_43,2011,CSK,RR,Away,bat,MA Chidambaram Stadium,Home
222,2011_44,2011,MI,PWI,Away,field,Dr DY Patil Sports Academy,Home
223,2011_45,2011,Kochi,KKR,Away,field,Nehru Stadium,Home
224,2011_46,2011,DC,DD,Away,field,Rajiv Gandhi International Stadium,Away
225,2011_47,2011,RCB,KXIP,Away,field,M.Chinnaswamy Stadium,Home
226,2011_48,2011,KKR,CSK,Away,bat,Eden Gardens,Home
227,2011_49,2011,MI,DD,Away,field,Wankhede Stadium,Home
228,2011_50,2011,RCB,Kochi,Away,bat,M.Chinnaswamy Stadium,Home
229,2011_51,2011,KXIP,PWI,Home,bat,Punjab Cricket Association IS Bindra Stadium,Away
230,2011_52,2011,RR,CSK,Home,field,Sawai Mansingh Stadium,Away
231,2011_53,2011,DC,PWI,Home,bat,Rajiv Gandhi International Stadium,Away
232,2011_54,2011,KXIP,MI,Away,field,Punjab Cricket Association IS Bindra Stadium,Home
233,2011_55,2011,RR,RCB,Away,field,Sawai Mansingh Stadium,Away
234,2011_56,2011,CSK,DD,Home,bat,MA Chidambaram Stadium,Home
235,2011_57,2011,KXIP,Kochi,Home,field,Holkar Cricket Stadium,Home
236,2011_58,2011,RCB,KKR,Home,field,M.Chinnaswamy Stadium,Home
237,2011_59,2011,MI,DC,Away,bat,Wankhede Stadium,Away
238,2011_60,2011,KXIP,DD,Away,field,Himachal Pradesh Cricket Association Stadium,Home
239,2011_61,2011,RR,Kochi,Away,field,Holkar Cricket Stadium,Away
240,2011_62,2011,DC,PWI,Home,field,Dr DY Patil Sports Academy,Home
241,2011_63,2011,KXIP,RCB,Home,bat,Himachal Pradesh Cricket Association Stadium,Home
242,2011_64,2011,CSK,Kochi,Home,bat,MA Chidambaram Stadium,Home
243,2011_65,2011,PWI,KKR,Away,field,Dr DY Patil Sports Academy,Away
244,2011_66,2011,MI,RR,Home,bat,Wankhede Stadium,Away
245,2011_67,2011,KXIP,DC,Home,field,Himachal Pradesh Cricket Association Stadium,Away
246,2011_68,2011,DD,PWI,Home,bat,Arun Jaitley Stadium,Tie
247,2011_69,2011,RCB,CSK,Home,field,M.Chinnaswamy Stadium,Home
248,2011_70,2011,KKR,MI,Away,field,Eden Gardens,Away
249,2011_71,2011,RCB,CSK,Away,field,Wankhede Stadium,Away
250,2011_72,2011,MI,KKR,Home,field,Wankhede Stadium,Home
251,2011_73,2011,RCB,MI,Away,field,MA Chidambaram Stadium,Home
252,2011_74,2011,CSK,RCB,Home,bat,MA Chidambaram Stadium,Home
253,2012_1,2012,CSK,MI,Away,field,MA Chidambaram Stadium,Away
254,2012_2,2012,KKR,DD,Away,field,Eden Gardens,Away
255,2012_3,2012,MI,PWI,Home,field,Wankhede Stadium,Away
256,2012_4,2012,RR,KXIP,Away,field,Sawai Mansingh Stadium,Home
257,2012_5,2012,RCB,DD,Away,field,M.Chinnaswamy Stadium,Home
258,2012_6,2012,DC,CSK,Home,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Away
259,2012_7,2012,RR,KKR,Away,field,Sawai Mansingh Stadium,Home
260,2012_8,2012,KXIP,PWI,Away,bat,Maharashtra Cricket Association Stadium,Away
261,2012_9,2012,MI,DC,Away,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Home
262,2012_10,2012,RCB,KKR,Home,field,M.Chinnaswamy Stadium,Away
263,2012_11,2012,DD,CSK,Home,field,Arun Jaitley Stadium,Home
264,2012_12,2012,MI,RR,Away,field,Wankhede Stadium,Home
265,2012_13,2012,CSK,RCB,Away,bat,MA Chidambaram Stadium,Home
266,2012_14,2012,KXIP,PWI,Home,field,Punjab Cricket Association IS Bindra Stadium,Home
267,2012_15,2012,KKR,RR,Away,bat,Eden Gardens,Home
268,2012_16,2012,CSK,PWI,Home,bat,Maharashtra Cricket Association Stadium,Away
269,2012_17,2012,KKR,KXIP,Home,field,Eden Gardens,Away
270,2012_18,2012,RCB,RR,Away,bat,M.Chinnaswamy Stadium,Away
271,2012_19,2012,MI,DD,Away,field,Wankhede Stadium,Away
272,2012_20,2012,RR,DC,Away,bat,Sawai Mansingh Stadium,Home
273,2012_21,2012,RCB,PWI,Away,bat,M.Chinnaswamy Stadium,Home
274,2012_22,2012,KXIP,KKR,Home,bat,Punjab Cricket Association IS Bindra Stadium,Away
275,2012_23,2012,DD,DC,Away,bat,Arun Jaitley Stadium,Home
276,2012_24,2012,CSK,PWI,Away,field,MA Chidambaram Stadium,Home
277,2012_25,2012,KXIP,RCB,Away,field,Punjab Cricket Association IS Bindra Stadium,Away
278,2012_26,2012,CSK,RR,Away,bat,MA Chidambaram Stadium,Home
279,2012_27,2012,DD,PWI,Home,field,Arun Jaitley Stadium,Away
280,2012_28,2012,MI,KXIP,Home,bat,Wankhede Stadium,Away
281,2012_29,2012,KKR,DC,Home,field,Barabati Stadium,Home
282,2012_30,2012,RR,RCB,Home,field,Sawai Mansingh Stadium,Away
283,2012_31,2012,PWI,DD,Home,bat,Maharashtra Cricket Association Stadium,Away
284,2012_32,2012,KKR,DC,none,none,Eden Gardens,Tie
285,2012_33,2012,KXIP,MI,Home,bat,Punjab Cricket Association IS Bindra Stadium,Away
286,2012_34,2012,RCB,CSK,Home,field,M.Chinnaswamy Stadium,Tie
287,2012_35,2012,DC,PWI,Home,bat,Maharashtra Cricket Association Stadium,Home
288,2012_36,2012,DD,MI,Away,field,Arun Jaitley Stadium,Home
289,2012_37,2012,CSK,KXIP,Away,bat,MA Chidambaram Stadium,Away
290,2012_38,2012,KKR,RCB,Home,bat,Eden Gardens,Home
291,2012_39,2012,DD,RR,Home,bat,Arun Jaitley Stadium,Home
292,2012_40,2012,MI,DC,Home,field,Wankhede Stadium,Home
293,2012_41,2012,CSK,KKR,Home,bat,MA Chidambaram Stadium,Away
294,2012_42,2012,DC,PWI,Home,bat,Barabati Stadium,Home
295,2012_43,2012,RR,DD,Home,bat,Sawai Mansingh Stadium,Away
296,2012_44,2012,RCB,KXIP,Away,field,M.Chinnaswamy Stadium,Away
297,2012_45,2012,MI,PWI,Home,bat,Maharashtra Cricket Association Stadium,Home
298,2012_46,2012,CSK,DC,Home,bat,MA Chidambaram Stadium,Home
299,2012_47,2012,KKR,PWI,Home,bat,Eden Gardens,Home
300,2012_48,2012,KXIP,RR,Away,bat,Punjab Cricket Association IS Bindra Stadium,Away
301,2012_49,2012,MI,CSK,Home,field,Wankhede Stadium,Home
